item,pic,title
http://www.wikidata.org/entity/Q17319807,http://commons.wikimedia.org/wiki/Special:FilePath/Joost%20van%20Geel%20-%20Zelfportret%2C%20op%20de%20achtergrond%20Simson%20slapend%20in%20Delila%27s%20schoot%20%28Rechters%2016%2C%2016-19%29%20-%20SK-A-115%20-%20Rijksmuseum.jpg,Self Portrait
http://www.wikidata.org/entity/Q17319946,http://commons.wikimedia.org/wiki/Special:FilePath/De%20rijschool%20Rijksmuseum%20SK-A-224.jpeg,The Riding School
http://www.wikidata.org/entity/Q17319700,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20een%20man%20Rijksmuseum%20SK-A-43.jpeg,Portrait of a Man
http://www.wikidata.org/entity/Q17319667,http://commons.wikimedia.org/wiki/Special:FilePath/Andries%20Beeckman%20-%20The%20Castle%20of%20Batavia.jpg,The Castle of Batavia
http://www.wikidata.org/entity/Q17319672,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Abrahamsz.%20Beerstraaten%20001.jpg,The Ruins of the Old Town Hall of Amsterdam after the Fire of 7 July 1652
http://www.wikidata.org/entity/Q17319691,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrick%20Berckman%20001.jpg,"Adriaen Banckert (c 1620-1684), Vice Admiral of Zeeland"
http://www.wikidata.org/entity/Q17319678,http://commons.wikimedia.org/wiki/Special:FilePath/Stadswal%20van%20Haarlem%20in%20de%20winter.%20Rijksmuseum%20SK-A-27.jpeg,The City Wall of Haarlem in the Winter
http://www.wikidata.org/entity/Q17319702,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Johanna%20de%20Geer%20with%20Her%20Two%20Children%20Cecilia%20and%20Laurens%20Trip%20as%20Caritas%20by%20Ferdinand%20Bol.jpg,Caritas: Joanna de Geer (1629-1691) with her Children Cecilia Trip (1660-1728) and Laurens Trip (b. 1662)
http://www.wikidata.org/entity/Q17319676,http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20met%20vissen%20Rijksmuseum%20SK-A-25.jpeg,Still Life with Fish
http://www.wikidata.org/entity/Q17319664,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Bailly%20001.jpg,Portrait of Aertje Witsen  (1599-1652)
http://www.wikidata.org/entity/Q17319687,http://commons.wikimedia.org/wiki/Special:FilePath/Landschap%20met%20baders%20Rijksmuseum%20SK-A-33.jpeg,Landscape with Bathers
http://www.wikidata.org/entity/Q17319658,http://commons.wikimedia.org/wiki/Special:FilePath/Ludolf%20Bakhuizen%20004.jpg,Rough Sea
http://www.wikidata.org/entity/Q17319662,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20de%20Baen%20001.jpg,"Cornelis de Witt (1623-1672), Burgomaster of Dordrecht and Lord Lieutenant of Putten"
http://www.wikidata.org/entity/Q17319661,http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Pensionary%20Johan%20de%20Witt.jpg,Johan de Witt (1625-1672). Grand Pensionary of Holland
http://www.wikidata.org/entity/Q17319677,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20landschap.%20Rijksmuseum%20SK-A-26.jpeg,Italian Landscape
http://www.wikidata.org/entity/Q17319711,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20landschap%20met%20overzetveer%20Rijksmuseum%20SK-A-52.jpeg,Italian Landscape with Ferry
http://www.wikidata.org/entity/Q17319721,http://commons.wikimedia.org/wiki/Special:FilePath/Quiringh%20Gerritsz.%20van%20Brekelenkam%20001.jpg,Interior with Two Men by the Fireside
http://www.wikidata.org/entity/Q17319655,http://commons.wikimedia.org/wiki/Special:FilePath/Nederlandse%20schepen%20op%20de%20rede%20van%20Texel%3B%20in%20het%20midden%20de%20%27Gouden%20Leeuw%27%2C%20het%20vlaggeschip%20van%20Cornelis%20Tromp%20Rijksmuseum%20SK-A-8.jpeg,"Dutch Ships in the Roads of Texel; in the middle the 'Gouden Leeuw',  the Flagship of Cornelis Tromp"
http://www.wikidata.org/entity/Q17319683,http://commons.wikimedia.org/wiki/Special:FilePath/De%20ossendrift%20Rijksmuseum%20SK-A-30.jpeg,The Cattle Herd
http://www.wikidata.org/entity/Q17319689,http://commons.wikimedia.org/wiki/Special:FilePath/Gerrit%20Adriaensz.%20Berckheyde%20006.jpg,"De Waag (Weighing House) and Crane on the Spaarne, Haarlem"
http://www.wikidata.org/entity/Q17319682,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolaes%20Pietersz.%20Berchem%20019.jpg,The Three Droves
http://www.wikidata.org/entity/Q17319685,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolaes%20Pietersz.%20Berchem%20022.jpg,Ruth and Boas
http://www.wikidata.org/entity/Q17319701,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Michiel%20de%20Ruyter%20by%20Ferdinand%20Bol%20Rijksmuseum%20Amsterdam%20SK-A-44.jpg,Michiel de Ruyter as Lieutenant-Admiral
